18
1	2	17
18	21	11
6	3	7
9	18	14
16	8	3
9	2	12
20	2	18
3	17	6
8
9	11	15
20	20	1
0	1	19
19	0	9
3	4	16
13	1	9
8	9	12
17	12	4
17
14	1	20
10	8	7
19	19	2
19	18	4
19	19	1
17	20	10
0	4	6
13	5	16
0	15	7
18	6	11
14	20	13
13	9	0
21	7	19
2	5	17
6	3	15
8	0	14
19	0	19
3
13	3	19
14	18	5
11	3	17
4
2	9	18
11	9	18
19	8	20
3	4	5
7
19	13	7
13	11	8
10	14	0
13	13	14
11	19	5
14	15	9
16	3	6
7
13	3	5
0	2	8
4	8	16
2	0	3
16	11	11
5	4	11
19	18	5
8
15	10	1
9	20	18
13	5	4
5	9	9
6	12	18
11	20	14
13	21	17
8	11	6
13
15	18	11
12	2	20
6	12	0
16	11	19
9	16	2
15	4	12
0	17	10
11	16	2
3	16	19
11	6	5
4	0	2
15	13	4
14	20	16
15
15	6	13
3	1	16
18	6	8
18	3	18
8	20	21
11	15	19
2	0	3
6	0	5
0	13	10
15	12	5
9	6	12
1	10	14
18	7	21
5	4	2
2	12	1
1
3	16	21
5
16	3	12
17	8	12
9	19	6
0	3	16
7	15	17
17
8	14	3
8	20	7
10	0	19
12	2	1
7	2	6
2	5	19
19	14	10
7	11	17
8	15	11
15	9	8
11	18	1
15	4	0
0	15	0
20	6	3
0	13	6
7	15	11
5	13	4
15
0	16	11
8	10	1
2	19	9
14	16	11
8	21	11
9	15	12
8	0	16
9	13	0
17	8	12
1	0	16
17	0	11
7	9	0
8	12	20
18	5	15
8	13	15
20
1	9	11
10	9	5
20	1	6
16	10	18
17	10	13
12	11	3
19	20	4
7	11	3
4	17	18
13	9	12
11	11	21
1	0	9
6	20	11
13	15	21
10	11	10
2	2	0
6	1	0
10	8	11
13	12	7
10	4	17
1
16	7	1
17
7	10	3
7	21	16
1	21	4
12	10	7
15	11	13
16	12	2
3	2	15
16	10	4
20	5	5
15	12	6
11	20	17
14	5	17
9	7	16
14	19	5
0	13	17
13	7	8
15	10	10
10
5	20	14
4	5	20
20	17	5
10	16	1
3	1	18
13	8	13
6	6	19
6	19	15
20	5	2
14	16	13
3
0	12	18
4	17	16
3	13	1
14
8	2	17
9	20	9
18	12	16
2	10	1
0	4	0
5	6	15
0	20	19
0	10	15
5	7	11
9	20	12
1	8	14
19	18	13
8	14	4
3	17	14
4
17	19	5
1	4	0
2	3	19
3	14	13
9
21	3	18
20	16	20
7	9	18
3	1	5
18	5	8
14	20	13
10	17	19
12	0	19
15	4	17
18
18	10	6
17	13	3
16	8	2
2	18	21
6	19	5
3	3	14
17	2	6
6	19	5
19	20	3
12	3	20
9	0	9
15	18	2
19	13	10
21	16	7
21	0	5
5	4	9
19	0	11
4	7	9
9
5	9	13
18	12	12
6	13	0
0	9	2
19	1	13
19	18	21
19	19	5
3	1	14
1	2	4
5
10	14	15
15	2	7
11	15	19
18	7	20
18	17	2
17
19	15	15
15	15	14
13	21	17
15	14	18
17	19	2
6	12	18
0	14	3
11	8	2
8	15	1
6	11	3
2	8	19
18	3	13
10	16	13
6	9	6
2	6	4
5	12	16
2	12	9
6
2	18	8
11	12	10
17	2	13
19	11	11
16	14	4
5	9	17
11
19	2	14
4	6	20
16	2	0
7	11	7
10	8	15
0	0	4
17	3	18
16	14	8
11	8	12
16	17	8
7	15	11
